Date,Name,Year,Letterboxd.URI,Rating,Rewatch,Review,Tags,Watched.Date
2019-07-20,Midsommar,2019,https://letterboxd.com/breellis21/film/midsommar/,4,NA,I don’t think I had a fun time,NA,2019-07-19
2019-07-31,Once Upon a Time… in Hollywood,2019,https://letterboxd.com/breellis21/film/once-upon-a-time-in-hollywood/,4.5,NA,When the crazy hippie in the back of the car had more lines than margot robbie... tea,NA,2019-07-30
2019-08-07,Spider-Man: Far from Home,2019,https://letterboxd.com/breellis21/film/spider-man-far-from-home/,4,Yes,"Rewatched it. Adding a star because of Jake Gyllenhaal’s eyes. Still disappointed because I don’t feel like the film fully addressed the implications of End Game, but it is what it is",NA,2019-08-06
2019-08-27,Ready or Not,2019,https://letterboxd.com/breellis21/film/ready-or-not-2019/,4,NA,"I went into this movie completely blind but I’ve been told that the trailer gives away a little too much. I really liked this film, I was loving the journey. It’s truly a funny thriller. I even verbally screamed at one point.",NA,2019-08-26
2019-10-17,Zombieland,2009,https://letterboxd.com/breellis21/film/zombieland/,4,Yes,Pass me the twinkies !!!,ho time,2019-10-16
2019-10-17,Zombieland: Double Tap,2019,https://letterboxd.com/breellis21/film/zombieland-double-tap/,3.5,NA,It was good to have everyone back for round two,ho time,2019-10-16
2019-10-28,Jojo Rabbit,2019,https://letterboxd.com/breellis21/film/jojo-rabbit/,5,NA,Wow. This film is unlike any film I have ever seen.  It is Magnificent.  A work of genius.  I have seldom been so profoundly moved in my life... What a beautiful mix of drama and comedy. I was hesitant about this film because my sister is Jewish. I thought the themes were still tasteful.,"alamo season pass, ho time, normz, what did you learn today?",2019-10-27
2019-11-02,Parasite,2019,https://letterboxd.com/breellis21/film/parasite-2019/,3,NA,"My favorite South Korean director asked “Do rich people deserve rights?”


Also, I don’t know any other South Korean directors","alamo season pass, ho time",2019-11-02
2019-11-04,Harriet,2019,https://letterboxd.com/breellis21/film/harriet/,2,NA,Just seems like a movie that I’d watch in middle school when we had a substitute teacher,alamo season pass,2019-11-02
2019-11-06,Last Christmas,2019,https://letterboxd.com/breellis21/film/last-christmas-2019/,2.5,NA,"I was 100% down for this movie until I wasn’t. But it’s officially Christmas season !!! 

also, standing George Michael until I die.","ho time, manu, what did you learn today?",2019-11-05
2019-11-08,Hustlers,2019,https://letterboxd.com/breellis21/film/hustlers-2019/,4,NA,Feeling inspired,ho time,2019-11-08
2019-11-09,Doctor Sleep,2019,https://letterboxd.com/breellis21/film/doctor-sleep/,3.5,NA,"The world is one big hospice with fresh air. 

As far as 2019 Stephen King adaptation goes, this one takes the crown. (Pet Sematary was trash).

I’m starting to wonder if I’m immune to the horror genre now... didn’t flinch once.","alamo season pass, bre myself and i",2019-11-08
2019-11-14,Dark Water,2002,https://letterboxd.com/breellis21/film/dark-water/,4,Yes,I used to watch this all the time with my mom as I was growing up... is this why I am the way that I am?,NA,2019-11-13
2019-11-16,The Farewell,2019,https://letterboxd.com/breellis21/film/the-farewell-2019/,3.5,NA,Hmmm probably missed a good 40 mins of it. Need to rewatch /:,ho time,2019-11-15
